BatteryID,SOH,InternalResistance
BAT0969,61.70680599,0.150597326
BAT0972,63.01229732,0.150333709
BAT0978,62.0841629,0.150812294
BAT0984,63.11958744,0.151598246
BAT0989,60.28633534,0.151711295
BAT0995,60.35323778,0.150625821
BAT0998,60.86820413,0.152426946
BAT1000,61.46624733,0.153728399
BAT1002,62.07459277,0.150378396
BAT1004,61.45699127,0.150646838
BAT1005,62.24224239,0.151389184
BAT1006,61.94842533,0.15146767
BAT1009,61.42921642,0.155906344
BAT1010,60.71451641,0.150032031
BAT1011,59.56925088,0.152498425
BAT1013,60.79451026,0.150740775
BAT1014,60.99704115,0.151145601
BAT1015,60.28227942,0.15244563
BAT1017,61.11538803,0.152032281
BAT1019,61.61736078,0.152548691
BAT1021,60.21939302,0.150389035
BAT1022,60.83421382,0.151652745
BAT1023,60.87978608,0.150195341
BAT1024,58.81950228,0.151448931
BAT1025,61.11438076,0.150113248
BAT1027,59.35476794,0.154735914
BAT1028,59.18251754,0.150207903
BAT1029,59.73794406,0.152542638
BAT1030,58.48457459,0.154505782
BAT1031,61.65363703,0.151870112
BAT1032,61.38820185,0.151549668
BAT1033,60.08705538,0.153752476
BAT1034,59.57680295,0.155635868
BAT1035,59.66108094,0.151161369
BAT1036,60.54730584,0.153299704
BAT1037,61.73804048,0.150235011
BAT1038,59.24061493,0.153013598
BAT1039,58.62373662,0.153968409
BAT1040,61.22715606,0.152290751
BAT1041,57.82937934,0.153186016
BAT1042,58.52968908,0.151383546
BAT1043,59.35564609,0.154454157
BAT1044,57.97547957,0.156511388
BAT1045,60.53464332,0.152305712
BAT1046,60.28792496,0.153354656
BAT1047,58.96349185,0.155705092
BAT1048,60.56666021,0.157224181
BAT1049,60.74100646,0.15191362
BAT1050,59.18519107,0.154662431
BAT1051,58.70416475,0.155666262
BAT1052,61.52535861,0.154995887
BAT1053,59.81190181,0.150346416
BAT1054,59.38482318,0.15640218
BAT1055,60.5618847,0.158538673
BAT1056,59.33053261,0.155833324
BAT1057,58.72807289,0.153637788
BAT1058,59.1968075,0.154773746
BAT1059,60.0570906,0.159439826
BAT1060,57.0038588,0.157819925
BAT1061,58.69195375,0.157380053
BAT1062,60.56237128,0.156912825
BAT1063,58.45825036,0.154977726
BAT1064,60.44967444,0.155998858
BAT1065,60.26308235,0.156344155
BAT1066,58.83766624,0.157699149
BAT1067,58.05908597,0.159717838
BAT1068,58.59917197,0.159036676
BAT1069,61.31038697,0.154061231
BAT1070,60.56361887,0.15744799
BAT1071,58.90127929,0.158573527
BAT1072,57.80664099,0.158437721
BAT1073,58.77862506,0.156041532
BAT1074,58.74376059,0.163228218
BAT1075,57.1600519,0.154945831
BAT1076,58.59749265,0.155433623
BAT1077,59.60995689,0.15816719
BAT1078,56.7207239,0.162033606
BAT1079,59.14555009,0.15622761
BAT1080,59.75232606,0.157468343
BAT1081,57.83083276,0.160254587
BAT1082,60.00136027,0.158164276
BAT1083,57.52380389,0.157630792
BAT1084,58.93478665,0.159531266
BAT1085,57.82950322,0.159045036
BAT1086,58.08449154,0.160660878
BAT1087,57.39969276,0.161282938
BAT1088,58.66494348,0.159414006
BAT1089,59.09168648,0.159483465
BAT1090,57.99580247,0.159428222
BAT1091,56.73876031,0.160078261
BAT1092,58.39550316,0.159310341
BAT1093,58.48514899,0.159298783
BAT1094,57.62490402,0.161793254
BAT1095,59.58637945,0.162532232
BAT1096,56.15485416,0.156584894
BAT1097,55.71872477,0.159720042
BAT1098,57.11333701,0.158422611
BAT1099,58.64904972,0.159278057
BAT1100,56.78410152,0.160805032
BAT1101,56.70930137,0.161438877
BAT1102,58.5162106,0.159975747
BAT1103,58.2079884,0.156473319
BAT1104,58.01826854,0.158469909
BAT1105,58.4434584,0.162292999
BAT1106,57.0527279,0.155119147
BAT1107,57.27026002,0.163074854
BAT1108,58.25444646,0.16184246
BAT1109,56.14495802,0.163532352
BAT1110,55.26098344,0.160602862
BAT1111,56.86309136,0.156977189
BAT1112,58.34497703,0.162060725
BAT1113,57.60092477,0.163849306
BAT1114,58.24782151,0.163249444
BAT1115,55.25492858,0.160174617
BAT1116,57.5781657,0.161773522
BAT1117,57.88387285,0.160634327
BAT1118,55.72610171,0.160161467
BAT1119,57.91844511,0.163810777
BAT1120,57.10496223,0.159604935
BAT1121,60.17468488,0.160312367
BAT1122,54.89844299,0.159991949
BAT1123,58.29922647,0.159319505
BAT1124,56.52908901,0.162692829
BAT1125,55.3924761,0.164823006
BAT1126,56.42827073,0.162230246
BAT1127,57.3031731,0.159688504
BAT1128,58.0307138,0.164479889
BAT1129,58.74471953,0.166271404
BAT1130,58.2001196,0.161707515
BAT1131,55.6541152,0.162142891
BAT1132,57.65464187,0.164231321
BAT1133,57.06543863,0.166543747
BAT1134,55.94694013,0.162360332
BAT1135,56.58853616,0.1608351
BAT1136,55.95163424,0.164862837
BAT1137,56.78252183,0.165298136
BAT1138,55.85790461,0.163812263
BAT1139,55.50831968,0.162783733
BAT1140,57.01077239,0.165988757
BAT1141,57.33005846,0.165156072
BAT1142,56.13241394,0.162663129
BAT1143,57.86166331,0.164398189
BAT1144,56.16315015,0.161696585
BAT1145,55.86189602,0.165871781
BAT1146,57.02156848,0.164075533
BAT1147,56.48447531,0.163828578
BAT1148,56.30899186,0.164734251
BAT1149,53.57625293,0.164980615
BAT1150,56.00368454,0.16678986
BAT1151,54.50155096,0.166282181
BAT1152,54.9072951,0.164887181
BAT1153,54.75399365,0.166827336
BAT1154,55.07622519,0.166201475
BAT1155,55.19220188,0.164646801
BAT1156,55.6955145,0.165350564
BAT1157,56.67755493,0.165403554
BAT1158,56.20241745,0.166810523
BAT1159,53.90598,0.165165955
BAT1160,55.89326756,0.165219182
BAT1161,56.1670852,0.170037515
BAT1162,55.56089327,0.168079471
BAT1163,55.73333069,0.164778799
BAT1164,55.98816117,0.167541882
BAT1165,56.44682733,0.1667367
BAT1166,54.10945073,0.167383102
BAT1167,55.39037487,0.166974683
BAT1168,57.15220293,0.169179285
BAT1169,56.96927989,0.167591241
BAT1170,56.3635208,0.166875823
BAT1171,56.30036447,0.169184381
BAT1172,57.11004846,0.16766657
BAT1173,57.47043872,0.167542957
BAT1174,55.37736102,0.168028045
BAT1175,54.52711203,0.167312782
BAT1176,54.99706705,0.167618454
BAT1177,58.62951812,0.166526611
BAT1178,53.49341039,0.166297666
BAT1179,54.67560032,0.165902859
BAT1180,53.81134163,0.165216033
BAT1181,55.37996308,0.166340565
BAT1182,53.98149204,0.167851466
BAT1183,55.05097085,0.168506235
BAT1184,53.0917867,0.167857407
BAT1185,55.67323987,0.163788593
BAT1186,56.32226111,0.171749173
BAT1187,54.67227698,0.17087296
BAT1188,54.82542453,0.16969152
BAT1189,54.85447567,0.172714981
BAT1190,54.96200633,0.167045272
BAT1191,54.85219448,0.17287525
BAT1192,56.02431499,0.167269572
BAT1193,56.07607956,0.169777476
BAT1194,54.01181637,0.166852325
BAT1195,54.53666221,0.169529388
BAT1196,55.78640281,0.170372333
BAT1197,53.14353645,0.169390619
BAT1198,52.5917135,0.171227755
BAT1199,54.94493247,0.170098029
BAT1200,55.15204575,0.168955171
BAT1201,54.04729279,0.168966373
BAT1202,54.20855788,0.171821828
BAT1203,53.82216975,0.168992516
BAT1204,53.50471675,0.172230806
BAT1205,55.09971419,0.172945424
BAT1206,53.28534273,0.167262572
BAT1207,54.08904002,0.172965853
BAT1208,53.46356402,0.174920845
BAT1209,52.99439057,0.171404008
BAT1210,55.14445467,0.172198168
BAT1211,53.67190857,0.173174011
BAT1212,54.44491788,0.170649035
BAT1213,52.68510763,0.17166456
BAT1214,53.3244108,0.168771601
BAT1215,54.94128168,0.17177727
BAT1216,56.69634831,0.172596224
BAT1217,52.19104069,0.172732326
BAT1218,54.04324227,0.173930849
BAT1219,54.50074318,0.170350396
BAT1220,53.43787949,0.170934786
BAT1221,54.9346258,0.175891015
BAT1222,53.11878823,0.171899343
BAT1223,54.13837294,0.172700068
BAT1224,53.40793709,0.17226598
BAT1225,55.22404917,0.170856638
BAT1226,53.08580165,0.175847058
BAT1227,53.5288482,0.171644597
BAT1228,54.76194924,0.170545429
BAT1229,52.65711504,0.171998519
BAT1230,53.61578615,0.168996588
BAT1231,52.02378777,0.171797425
BAT1232,52.56728819,0.171263743
BAT1233,54.04177715,0.174534857
BAT1234,52.73085346,0.172053172
BAT1235,52.92550694,0.175275608
BAT1236,53.96637135,0.176396968
BAT1237,52.89029536,0.175262351
BAT1238,54.54922067,0.173369223
BAT1239,53.55570123,0.174182229
BAT1240,53.98624756,0.17095003
BAT1241,54.6813409,0.173832441
BAT1242,53.64792034,0.172479123
BAT1243,54.75286744,0.175688653
BAT1244,54.27355602,0.179545505
BAT1245,53.05108504,0.175499643
BAT1246,54.44276502,0.17061772
BAT1247,53.34480112,0.17397754
BAT1248,52.66527499,0.175044982
BAT1249,53.42021432,0.175074715
BAT1250,54.29437267,0.173538374
BAT1251,53.500971,0.175590583
BAT1252,54.99749463,0.172714998
BAT1253,54.03032866,0.173410183
BAT1254,53.47262651,0.176691595
BAT1255,51.81797154,0.173468674
BAT1256,52.46939429,0.176676423
BAT1257,52.85161348,0.172961072
BAT1258,53.53126436,0.179329652
BAT1259,53.45443377,0.17435146
BAT1260,53.15436779,0.175552667
BAT1261,53.00020146,0.176761227
BAT1262,53.41373302,0.1750693
BAT1263,51.9491057,0.176586812
BAT1264,54.36890955,0.177550713
BAT1265,50.69260239,0.178421226
BAT1266,53.9664447,0.178182995
BAT1267,52.57031131,0.176356379
BAT1268,53.49515912,0.176506736
BAT1269,52.95634244,0.181598217
BAT1270,52.7823311,0.178899778
BAT1271,52.96918486,0.175256353
BAT1272,53.37017025,0.177399976
BAT1273,52.05451667,0.176629714
BAT1274,53.45957048,0.177129332
BAT1275,51.31881561,0.17504101
BAT1276,52.35575666,0.176776154
BAT1277,53.20173983,0.181323112
BAT1278,53.06305875,0.178958153
BAT1279,52.66525769,0.172917677
BAT1280,51.69504355,0.180433447
BAT1281,52.99201169,0.180279259
BAT1282,51.39096895,0.177481429
BAT1283,53.85404274,0.179734527
BAT1284,51.96152451,0.176681202
BAT1285,50.40003862,0.177559489
BAT1286,50.77396742,0.181597093
BAT1287,52.1707176,0.17815654
BAT1288,52.01886104,0.175060537
BAT1289,53.65168455,0.178773394
BAT1290,50.76550814,0.178842823
BAT1291,51.79578816,0.181496737
BAT1292,50.63809576,0.179228673
BAT1293,51.27537977,0.178456835
BAT1294,53.40768458,0.181490112
BAT1295,50.61517241,0.17974158
BAT1296,52.3350798,0.178099955
BAT1297,51.93704139,0.182009995
BAT1298,51.50869016,0.180187324
BAT1299,52.13420764,0.179905852
BAT1300,50.42585787,0.180355817
BAT1301,53.12215393,0.177958663
BAT1302,53.30814472,0.179144692
BAT1303,51.61799107,0.180307165
BAT1304,54.12168081,0.180010673
BAT1305,51.03528383,0.183044857
BAT1306,51.93969422,0.181034812
BAT1307,52.82540041,0.182409808
BAT1308,50.86204251,0.180818791
BAT1309,49.99509587,0.183012577
BAT1310,49.50822591,0.181795056
BAT1311,53.16008953,0.181126841
BAT1312,50.54216556,0.181173434
BAT1313,50.91247445,0.179391123
BAT1314,50.1769344,0.182413831
BAT1315,51.96884401,0.181419591
BAT1316,50.28746478,0.180596016
BAT1317,50.38880431,0.183912924
BAT1318,51.44381088,0.179299568
BAT1319,50.00409017,0.181055008
BAT1320,50.71961773,0.184055437
BAT1321,52.18267585,0.182731046
BAT1322,51.39551818,0.182104282
BAT1323,51.00453054,0.182802007
BAT1324,50.92324644,0.182758828
BAT1325,50.47697715,0.179466675
BAT1326,52.61341225,0.181901476
BAT1327,50.03534044,0.185933043
